danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,chorus_hit,sections,decade,target
0.856,0.879,-5.231,0.068,0.00831,4.4e-06,0.112,0.711,99.731,151728,72.733,6,80s,0
0.473,0.557,-7.124,0.0249,0.456,0.0994,0.251,0.672,104.84,177387,62.40191,9,60s,1
0.729,0.772,-8.663,0.028,0.0322,2.89e-06,0.0938,0.757,106.077,303053,32.38625,13,60s,1
0.739,0.38,-19.593,0.0419,0.784,0.000128,0.129,0.78,113.335,148908,17.34648,11,90s,0
0.556,0.464,-11.297,0.0386,0.703,0.0,0.108,0.775,92.391,207160,27.40647,10,70s,1
0.672,0.482,-18.425,0.05,0.334,0.000645,0.0703,0.934,102.463,211360,47.07785,12,70s,0
0.605,0.168,-20.614,0.0744,0.961,0.933,0.0775,0.761,120.734,58721,31.49393,3,70s,0
0.428,0.78,-3.472,0.0373,0.083,0.0,0.115,0.431,147.986,196000,39.22726,8,10s,1
0.652,0.499,-8.271,0.0743,0.916,0.0,0.123,0.656,119.615,132747,21.10085,6,60s,1
0.726,0.739,-7.115,0.033,0.0725,1.48e-05,0.292,0.539,118.836,231560,37.73972,13,80s,1
0.768,0.787,-8.178,0.144,0.0283,0.00122,0.317,0.855,94.104,296267,37.35493,15,90s,1
0.274,0.313,-11.828,0.0307,0.898,0.0,0.146,0.335,75.919,163293,19.82467,8,60s,1
0.198,0.183,-17.586,0.0425,0.968,0.00201,0.11,0.0373,98.532,158667,52.29401,8,00s,0
0.345,0.369,-12.866,0.0315,0.845,3.92e-06,0.3,0.354,138.697,211333,45.56404,11,60s,0
0.721,0.842,-1.97,0.0279,0.013,0.00187,0.076,0.882,109.966,215360,35.75785,7,90s,1
0.62,0.69,-6.508,0.0493,0.0931,0.0,0.131,0.331,133.935,234213,27.86278,13,10s,1
0.155,0.0346,-29.305,0.0406,0.956,0.949,0.0986,0.0352,76.395,129360,19.74855,10,10s,0
0.699,0.674,-6.668,0.0299,0.0528,0.0,0.143,0.576,102.05,257080,48.14515,10,00s,1
0.582,0.232,-15.105,0.0331,0.895,0.00304,0.131,0.719,103.336,134360,41.3297,8,60s,0
0.656,0.796,-9.396,0.0287,0.722,0.0948,0.317,0.898,133.717,107773,29.05976,6,60s,0
0.714,0.826,-8.668,0.0486,0.00661,2.29e-06,0.231,0.89,118.174,282027,38.29009,15,90s,1
0.644,0.0101,-22.5,0.0767,0.915,0.0,0.0982,0.289,84.779,224400,30.05039,13,70s,0
0.654,0.833,-5.193,0.0459,0.00396,5.63e-06,0.231,0.696,119.874,289360,34.89643,14,00s,1
0.615,0.76,-8.393,0.0317,0.0186,0.053,0.0825,0.902,90.847,183213,30.86789,7,00s,0
0.144,0.0509,-18.831,0.036,0.868,0.927,0.115,0.0772,80.935,220893,30.58415,9,80s,0
0.543,0.294,-13.004,0.0404,0.918,3.55e-05,0.195,0.589,97.856,164186,31.29706,8,80s,0
0.309,0.229,-18.258,0.0315,0.865,0.883,0.118,0.0382,200.702,283266,59.01522,13,90s,0
0.659,0.85,-11.322,0.0846,0.597,0.0,0.414,0.587,112.708,152212,51.95005,8,60s,1
0.46,0.505,-5.487,0.0266,0.42,0.0,0.134,0.22,135.757,235107,35.216,13,90s,1
0.591,0.651,-12.882,0.0424,0.42,1.97e-06,0.129,0.824,132.539,302200,46.67712,14,80s,1
0.747,0.544,-14.06,0.209,0.0239,0.000524,0.0901,0.84,88.354,362733,34.21942,13,70s,1
0.781,0.806,-4.2,0.137,0.0982,0.0,0.403,0.69,125.019,236080,49.59069,12,10s,1
0.521,0.0268,-18.06,0.0762,0.976,0.81,0.111,0.246,74.578,71800,31.95552,5,80s,0
0.799,0.946,-6.892,0.236,0.0321,3.36e-06,0.926,0.288,113.028,203907,74.25023,7,00s,1
0.292,0.274,-13.159,0.0307,0.881,0.0107,0.175,0.461,169.823,116600,22.51268,8,80s,0
0.646,0.809,-3.99,0.0282,0.0854,0.0,0.0806,0.588,139.2,229467,41.32761,12,80s,1
0.816,0.582,-4.141,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366,25.24618,9,10s,1
0.162,0.127,-26.165,0.0426,0.993,0.87,0.109,0.523,179.159,143013,49.48768,6,10s,0
0.722,0.563,-7.067,0.0377,0.529,0.0,0.0973,0.838,114.756,138973,30.3342,8,60s,1
0.771,0.627,-13.08,0.0638,0.00219,0.905,0.0867,0.587,131.987,483718,41.01174,14,00s,0
0.822,0.457,-10.937,0.235,0.214,0.000397,0.0766,0.73,99.16,307063,83.61484,9,70s,1
0.542,0.324,-14.07,0.0329,0.566,2.27e-06,0.0876,0.421,121.802,213533,31.98566,10,70s,1
0.816,0.707,-8.601,0.0363,0.0244,0.000142,0.0469,0.922,123.084,293240,17.61974,15,80s,1
0.388,0.309,-9.296,0.0323,0.881,0.0,0.22,0.375,99.246,121347,31.65215,8,60s,0
0.291,0.86,-7.584,0.0509,0.621,0.744,0.273,0.541,100.174,336120,48.4174,14,70s,1
0.766,0.816,-5.919,0.0659,0.322,0.326,0.243,0.688,99.248,368027,35.56561,15,70s,0
0.507,0.988,-3.877,0.133,0.0658,0.006,0.333,0.482,100.747,268200,65.16117,12,90s,1
0.159,0.031,-31.089,0.036,0.949,0.933,0.112,0.0336,91.742,216860,26.78415,12,70s,0
0.404,0.533,-8.424,0.0307,0.314,2.48e-05,0.569,0.568,157.803,169400,47.69396,8,60s,1
0.31,0.968,-4.206,0.156,0.000389,0.00123,0.114,0.189,163.214,241040,59.57906,8,10s,0
0.848,0.677,-10.925,0.138,0.761,0.0,0.0796,0.602,92.006,172200,33.5008,11,90s,0
0.745,0.879,-7.662,0.0394,0.217,5.89e-05,0.251,0.789,92.004,287373,29.46785,14,80s,1
0.781,0.53,-14.848,0.0685,0.227,0.0,0.106,0.817,110.157,206360,21.57383,11,90s,1
0.581,0.767,-6.28,0.0406,0.157,0.0,0.278,0.832,152.011,222613,23.50314,13,10s,1
0.585,0.643,-14.482,0.041,0.615,0.0,0.101,0.96,85.799,236413,30.35655,11,70s,0
0.459,0.312,-13.202,0.0378,0.878,0.0,0.147,0.483,101.245,155653,28.19582,7,70s,0
0.726,0.787,-2.494,0.0738,0.009,0.0,0.0596,0.888,124.989,199987,19.86214,9,10s,1
0.691,0.873,-3.519,0.151,0.125,0.0,0.0913,0.538,99.997,243400,66.01003,8,00s,1
0.148,0.00837,-36.498,0.0522,0.993,0.979,0.0706,0.0392,139.143,87373,40.53061,3,00s,0
0.639,0.605,-9.177,0.0335,0.705,0.0888,0.0761,0.642,94.182,331960,62.43262,15,70s,1
